stimulus_id,stimulus_label,title,dataset_id,composition_id,event_id,chord_id,midi,pc_set,surprisal_rating_mean,surprisal_rating_sd,surprisal_rating_n,surprisal_rating_se,probability,information_content,milne_2011,onset,offset,leman_2000_v1,leman_2000_v2,leman_2000_v3,leman_2000_v4,leman_2000_v5,leman_2000_v6,collins_2014,melody_midi,melody_information_content,melody_entropy,melody_dist,vl_dist,incon
521,id=521_genre=popular_c-id=508_e-id=30_ic_category_1,Creedence Clearwater Revival: Bad Moon Rising,2,508,25,1,55 62 71,2 7 11,NA,NA,0,NA,0.0289170109024874,5.11193775847569,NA,0,1,2.2271671074975576,2.189769485520124,2.1694166868570894,3.8520697053596056,3.6697476027113436,3.5805344321249186,-18016.499017365102,71,5.4594316,5.45943,NA,NA,2.0832048202913276
521,id=521_genre=popular_c-id=508_e-id=30_ic_category_1,Creedence Clearwater Revival: Bad Moon Rising,2,508,26,2,50 66 69,2 6 9,NA,NA,0,NA,0.107772041377633,3.21394513755217,0.4154672127468768,1,2,0.9954552510776986,0.9225105038886723,0.8830640628340043,2.1007605425187177,1.8984323116908477,1.7996919287491677,-63294.849635367136,69,2.3069804,3.3088768,2,11,2.0656877301348207
521,id=521_genre=popular_c-id=508_e-id=30_ic_category_1,Creedence Clearwater Revival: Bad Moon Rising,2,508,27,3,57 61 64,1 4 9,NA,NA,0,NA,0.131951972084748,2.92191518230105,0.4154672127468768,2,3,0.9475527289325952,0.8518324425444473,0.799468067283747,1.7806066397210047,1.5470893153151941,1.4317560540105014,-74589.23878071332,64,5.5034614,3.3214839,5,17,1.98256825909415
521,id=521_genre=popular_c-id=508_e-id=30_ic_category_1,Creedence Clearwater Revival: Bad Moon Rising,2,508,28,4,55 62 71,2 7 11,NA,NA,0,NA,0.315656788901491,1.66357131508635,0.742483976377317,3,4,1.0927057331693284,1.0749539322955108,1.0746435699930184,2.0551100632667163,1.890177600782623,1.8170932971543985,-100357.36240085069,71,5.72334,3.4463625,7,10,2.0832048202913276
521,id=521_genre=popular_c-id=508_e-id=30_ic_category_1,Creedence Clearwater Revival: Bad Moon Rising,2,508,29,5,50 66 69,2 6 9,NA,NA,0,NA,0.558191745900212,0.841167303763344,0.4154672127468768,4,5,1.0530526110972076,1.0017612249557715,0.9762817673788081,2.059517925726257,1.899396297931475,1.830873230934587,-87990.59928501974,69,2.0157967,2.6281276,2,11,2.0656877301348207
521,id=521_genre=popular_c-id=508_e-id=30_ic_category_1,Creedence Clearwater Revival: Bad Moon Rising,2,508,30,6,57 61 64,1 4 9,-0.379850702994024,0.775322595668583,25,0.155064519133717,0.55696445745059,0.84434282961264,0.4154672127468768,5,6,1.0352497041400002,0.951046694305588,0.902713181830428,1.8687767979646415,1.641673015607072,1.5283700690170023,-116431.9471228489,64,4.180793,3.5259225,5,17,1.98256825909415
521,id=521_genre=popular_c-id=508_e-id=30_ic_category_1,Creedence Clearwater Revival: Bad Moon Rising,2,508,31,7,55 62 71,2 7 11,NA,NA,0,NA,0.63947401026702,0.645042369120281,0.742483976377317,6,7,1.021228864582152,0.9815498966443031,0.9712907158604671,1.9108093609516097,1.7289877280621533,1.6528074496220606,-155748.2431613632,71,2.893776,3.6596837,7,10,2.0832048202913276
521,id=521_genre=popular_c-id=508_e-id=30_ic_category_1,Creedence Clearwater Revival: Bad Moon Rising,2,508,32,8,50 66 69,2 6 9,NA,NA,0,NA,0.625756722597721,0.676326209802685,0.4154672127468768,7,8,1.0481060663141468,0.9967247118943816,0.9734861101901036,1.9726660241086564,1.7962611203198402,1.7271411644170456,-113280.32028929278,69,1.3165474,2.4664996,2,11,2.0656877301348207
522,id=522_genre=popular_c-id=403_e-id=164_ic_category_1,Eric Carmen: Sunrise,2,403,159,1,48 64 67,0 4 7,NA,NA,0,NA,0.029025274940002,5.10654645678556,NA,0,1,2.4882092923628676,2.461539481704199,2.447129686343574,4.360786487290415,4.186917796986983,4.102296747775911,-15352.704366013344,67,5.4594316,5.45943,NA,NA,2.0469639310114416
522,id=522_genre=popular_c-id=403_e-id=164_ic_category_1,Eric Carmen: Sunrise,2,403,160,2,51 67 70,3 7 10,NA,NA,0,NA,0.0163502012153355,5.93454779927581,0.6001849316853374,1,2,1.1722048593303955,1.098465927725509,1.0579976115292609,2.2333940646924573,2.0230515909062627,1.9193859587535866,-52368.658669028635,70,4.245151,3.3045144,3,9,2.0738163148169737
