id,label,genre,dataset-id,reduce-harmony,target-chord-position-1-indexed,milne-target,milne-full-seq,h-cpitch-stm-ic,h-cpitch,music-data,c-id,e-id,first-e-id,last-e-id,num-pcs-in-chords,ic,ic-category
1,id=1_genre=classical_c-id=476_e-id=91_ic_category_1,CLASSICAL,1,T,6,0.4608527321,"(0.4154672157d0 0.5455992909d0 0.5455992909d0 0.5018508825d0 0.4608527321d0
 0.4608527321d0 0.5018508825d0)",3.2283845,"((58 62 65) (51 67 70) (54 63 69) (55 63 70) (57 60 63 66) (59 62 65 69)
 (57 60 63 66) (58 63 67))",#<HARMONIC-SEQUENCE {103A5481F3}>,476,91,86,93,(3 3 3 3 4 4 4 3),11.399344,1
2,id=2_genre=classical_c-id=882_e-id=76_ic_category_1,CLASSICAL,1,T,6,0.0871130066,"(0.1392375404d0 0.5013549427d0 0.088390993d0 0.2597398588d0 0.0871130066d0
 0.289336902d0 0.4941420868d0)",3.4583433,"((48 67) (48 64 67) (59 62 66 67) (59 62 67) (58 62 67) (58 62 65 67)
 (57 62 65) (57 61 64))",#<HARMONIC-SEQUENCE {103A548393}>,882,76,71,78,(2 3 4 3 3 4 3 3),7.464581,1
3,id=3_genre=classical_c-id=942_e-id=155_ic_category_1,CLASSICAL,1,T,6,0.6013958836,"(0.6555519402d0 0.3955585127d0 0.2976272114d0 0.2874167659d0 0.6013958836d0
 0.254644365d0 0.4556727817d0)",3.4583433,"((48 64 69) (50 67 71) (50 60 66 69) (55 62 66 71) (57 66 71) (48 62 69)
 (57 60 65) (59 62 65 67))",#<HARMONIC-SEQUENCE {103A548553}>,942,155,150,157,(3 3 4 4 3 3 3 4),6.79764,1
4,id=4_genre=classical_c-id=848_e-id=166_ic_category_1,CLASSICAL,1,T,6,0.7159506595,"(0.6224036406d0 0.9675414951d0 0.9731220386d0 0.1392375404d0 0.7159506595d0
 0.8135845d0 0.8537379578d0)",3.4583433,((59 62 68) (57 61 64) (51 70) (52 71) (56 64 71) (54 61) (56 63) (54 61 64 69)),#<HARMONIC-SEQUENCE {103A5486B3}>,848,166,161,168,(3 3 2 2 3 2 2 4),11.433148,1
5,id=5_genre=classical_c-id=890_e-id=113_ic_category_1,CLASSICAL,1,T,6,0.337278823,"(0.6066733029d0 0.2976272114d0 0.4705920409d0 0.4705920409d0 0.337278823d0
 0.2863351795d0 0.3955585127d0)",3.4583433,"((50 65 70) (48 63 67 69) (58 62 63 67) (50 60 65 68) (51 62 67 70)
 (56 60 63 67) (58 63 67) (58 62 65 68))",#<HARMONIC-SEQUENCE {103A5488A3}>,890,113,108,115,(3 4 4 4 4 4 3 4),7.6797895,1
6,id=6_genre=classical_c-id=394_e-id=92_ic_category_1,CLASSICAL,1,T,6,0.1043687507,"(0.498340002d0 0.3621893337d0 0.485140321d0 0.4484576195d0 0.1043687507d0
 0.1854361681d0 0.1635332016d0)",3.4583433,"((57 62 65) (52 62 67 71) (52 60 67 70) (50 60 66 69) (55 62 70) (50 64 67 70)
 (51 62 67 70) (48 63 67 70))",#<HARMONIC-SEQUENCE {103A548A93}>,394,92,87,94,(3 4 4 4 3 4 4 4),10.498745,1
7,id=7_genre=classical_c-id=106_e-id=71_ic_category_1,CLASSICAL,1,T,6,0.0,"(0.6434166946d0 0.4154672157d0 0.1043687507d0 0.3955585127d0 0.0d0
 0.4556727817d0 0.3955585127d0)",3.2018166,"((57 60 63 66) (58 62 65) (51 67 70) (51 61 67 70) (56 60 63) (48 63 68)
 (50 65 68 70) (51 67 70))",#<HARMONIC-SEQUENCE {103A548C53}>,106,71,66,73,(4 3 3 4 3 3 4 3),4.271536,1
8,id=8_genre=classical_c-id=642_e-id=103_ic_category_1,CLASSICAL,1,T,6,0.138726167,"(0.4484576195d0 0.1044008226d0 0.4029451379d0 0.8417460773d0 0.138726167d0
 0.4029451379d0 0.4029451379d0)",2.915765,"((52 67 71) (59 63 66 69) (59 66 69) (52 67 71) (54 61) (54 61 64) (59 62 66)
 (54 61 64))",#<HARMONIC-SEQUENCE {103A548DE3}>,642,103,98,105,(3 4 3 3 2 3 3 3),9.947861,1
9,id=9_genre=classical_c-id=42_e-id=44_ic_category_1,CLASSICAL,1,T,6,0.337278823,"(0.4941420868d0 0.0871130066d0 0.289336902d0 0.088390993d0 0.337278823d0
 0.2976272114d0 0.3955585127d0)",3.4583433,"((56 60 63) (49 64 68) (56 61 64 71) (57 61 64) (49 64 68 69) (56 63 64 71)
 (51 66 69 71) (52 68 71))",#<HARMONIC-SEQUENCE {103A548FB3}>,42,44,39,46,(3 3 4 3 4 4 4 3),11.148432,1
10,id=10_genre=classical_c-id=724_e-id=25_ic_category_1,CLASSICAL,1,T,6,0.0872513075,"(0.2863351795d0 0.4154672157d0 0.3955585127d0 0.4019097516d0 0.0872513075d0
 0.2874167659d0 0.2874167659d0)",3.2018166,"((57 61 62 66) (57 61 64) (50 66 69) (49 64 67 69) (50 66 69 71) (54 69 71)
 (50 66 67 71) (54 69 71))",#<HARMONIC-SEQUENCE {103A549183}>,724,25,20,27,(4 3 3 4 4 3 4 3),10.802075,1
11,id=11_genre=classical_c-id=672_e-id=124_ic_category_1,CLASSICAL,1,T,6,0.2412364053,"(0.491289643d0 0.2134506033d0 0.0965239404d0 0.7032859628d0 0.2412364053d0
 0.3165209519d0 0.3772957805d0)",3.4583433,"((52 60 65 69) (58 61 64 67) (58 60 64 67) (58 64 67) (56 60 65) (56 65 70)
 (56 60 62 65) (56 60 63 66))",#<HARMONIC-SEQUENCE {103A549363}>,672,124,119,126,(4 4 4 3 3 3 4 4),7.1915183,1
12,id=12_genre=classical_c-id=751_e-id=62_ic_category_1,CLASSICAL,1,T,6,0.4154672157,"(0.4171903988d0 0.4171903988d0 0.4171903988d0 0.4171903988d0 0.4154672157d0
 0.414836409d0 0.414836409d0)",1.9536697,"((53 60 69) (53 62 67 70) (53 60 69) (53 62 67 70) (53 60 69) (53 62 70)
 (53 60 63) (53 62 70))",#<HARMONIC-SEQUENCE {103A549513}>,751,62,57,64,(3 4 3 4 3 3 3 3),7.6340294,1
13,id=13_genre=classical_c-id=714_e-id=175_ic_category_1,CLASSICAL,1,T,6,0.1043687507,"(0.6070082533d0 0.7487108014d0 0.6788598028d0 0.8609804698d0 0.1043687507d0
 0.4705920409d0 0.2863351795d0)",3.4583433,"((56 65 70) (50 65 69) (55 63 70) (52 67 71) (50 65 70) (50 65 68 70)
 (55 60 63 68) (51 67 70))",#<HARMONIC-SEQUENCE {103A5496C3}>,714,175,170,177,(3 3 3 3 3 4 4 3),6.2490516,1
14,id=14_genre=classical_c-id=599_e-id=108_ic_category_1,CLASSICAL,1,T,6,0.272020256,"(0.2961143015d0 0.3955585127d0 0.3955585127d0 0.4019097516d0 0.272020256d0
 0.4171903988d0 0.3955585127d0)",2.9370053,"((56 63 66 71) (49 65 68 71) (54 61 70) (56 61 65 71) (54 61 63 70)
 (54 63 68 71) (54 61 70) (49 65 68 71))",#<HARMONIC-SEQUENCE {103A5498B3}>,599,108,103,110,(4 4 3 4 4 4 3 4),10.416298,1
15,id=15_genre=classical_c-id=954_e-id=50_ic_category_1,CLASSICAL,1,T,6,0.9731220386,"(0.9366852883d0 0.9731220386d0 0.9731220386d0 0.9731220386d0 0.9731220386d0
 0.8135845d0 0.8122854196d0)",3.1869042,((50 69) (53 60) (52 71) (53 60) (54 61) (55 62) (57 64) (59 65 68)),#<HARMONIC-SEQUENCE {103A5499D3}>,954,50,45,52,(2 2 2 2 2 2 2 3),1.0294268,1
16,id=16_genre=classical_c-id=581_e-id=901_ic_category_1,CLASSICAL,1,T,6,0.289336902,"(0.1043687507d0 0.1844733827d0 0.6066733029d0 0.0871130066d0 0.289336902d0
 0.2597398588d0 0.39824444d0)",3.2283845,"((49 64 69) (49 64 67 69) (52 61 67 71) (50 66 69) (50 66 69 71) (49 66 69)
 (50 66 69) (50 64 71))",#<HARMONIC-SEQUENCE {103A549B93}>,581,901,896,903,(3 4 4 3 4 3 3 3),9.285194,1
17,id=17_genre=classical_c-id=880_e-id=289_ic_category_1,CLASSICAL,1,T,6,0.0,"(0.337278823d0 0.1635332016d0 0.1635332016d0 0.0d0 0.0d0 0.2874167659d0
 0.5733579744d0)",2.9435642,"((59 60 64 67) (52 60 65 69) (48 62 65 69) (52 60 65 69) (53 60 64 69)
 (52 60 65 69) (57 64 67) (53 62 67 70))",#<HARMONIC-SEQUENCE {103A549D93}>,880,289,284,291,(4 4 4 4 4 4 3 4),2.0927527,1
18,id=18_genre=classical_c-id=637_e-id=204_ic_category_1,CLASSICAL,1,T,6,0.1392375404,"(0.088390993d0 0.2597398588d0 0.3195972737d0 0.3933956015d0 0.1392375404d0
 0.088390993d0 0.2863351795d0)",2.9908779,"((50 61 66 69) (50 66 69) (57 61 66) (52 61 67 69) (50 69) (50 66 69)
 (50 61 66 69) (57 61 64))",#<HARMONIC-SEQUENCE {103A549F43}>,637,204,199,206,(4 3 3 4 2 3 4 3),2.6869106,1
